Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord,xyStatus,crimeCat
16-019556,2016-04,04/25/2016 23:45,Y,NA,NA,1,NA,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3637,ROSWELL AVE,4,NA,NA,NA,NA,887274.4,991813.7,FALSE,14
16-019560,2016-04,04/26/2016 01:00,Y,NA,NA,1,NA,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3535,S JEFFERSON AVE,19,NA,NA,NA,NA,898367.8,1003871,FALSE,14
16-019561,2016-04,04/26/2016 01:25,Y,NA,NA,1,NA,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4109,ENRIGHT AVE,58,APT 309,NA,4109,ENRIGHT,893880.6,1024494,FALSE,14
16-019574,2016-04,04/26/2016 01:30,Y,NA,NA,1,NA,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1386,BURD AVE,78,NA,NA,1386,BURD,884134.5,1031455,FALSE,14
16-019571,2016-04,04/26/2016 02:00,Y,NA,NA,1,NA,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3652,DUNNICA AVE,16,NA,NA,3652,DUNNICA,892612.3,1002777,FALSE,14
16-019979,2016-04,04/26/2016 02:20,Y,NA,NA,1,NA,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5453,DELMAR BLVD,49,NA,NA,5453,DELMAR,883561.5,1027076,FALSE,14
16-019566,2016-04,04/26/2016 02:21,Y,NA,NA,1,NA,151130,3,WEAPONS-STATE VIOL/UNLWFL USE/CARRYING,2924,SHENANDOAH AVE,25,NA,NA,2924,SHENANDOAH,897263,1010453,FALSE,15
16-019612,2016-04,04/26/2016 09:22,Y,NA,NA,1,NA,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4571,DR MARTIN LUTHER KING DR,56,NA,STREET,4571,DR MARTIN LUTHER KING,891524.9,1028935,FALSE,14
16-019658,2016-04,04/26/2016 09:30,Y,NA,NA,1,NA,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5450,PARTRIDGE AVE,72,NA,NA,5450,PARTRIDGE,891254.6,1045233,FALSE,14
16-019618,2016-04,04/26/2016 09:34,Y,NA,NA,1,NA,182250,4,DRUGS-POSSESSION/COCAINE,1210,LOCUST ST,36,CHRIST CHURCH CATHEDRAL,NA,NA,NA,906389.8,1018559,FALSE,18
16-019617,2016-05,04/26/2016 10:25,Y,NA,NA,1,NA,130000,3,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",3942,S COMPTON AVE,16,NA,NA,3942,COMPTON,894918.9,1001770,FALSE,13
16-019637,2016-04,04/26/2016 10:30,Y,NA,NA,1,NA,130000,5,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",5245,ST LOUIS AVE,52,NA,NA,5245,ST LOUIS,888553.6,1034388,FALSE,13
16-019629,2016-04,04/26/2016 11:22,Y,NA,NA,1,NA,250000,4,LOITERING-BEGGING,901,WASHINGTON AVE,35,NA,NA,NA,NA,907958,1018887,FALSE,25
16-019651,2016-04,04/26/2016 13:10,Y,NA,NA,1,NA,130000,6,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",5658,LILLIAN AVE,72,NA,NA,5658,LILLIAN,890238.3,1042838,FALSE,13
16-019660,2016-05,04/26/2016 14:23,Y,NA,NA,1,NA,182130,4,DRUGS-POSSESSION/HEROIN,3700,COTE BRILLIANTE AVE,59,NA,NA,3700,COTE BRILLIANTE,898147.3,1025795,FALSE,18
16-019666,2016-05,04/26/2016 14:54,Y,NA,NA,1,NA,183130,4,DRUGS-SALE/HEROIN,1915,OLIVE ST,36,NA,NA,1915,OLIVE,903703.7,1019090,FALSE,18
16-019809,2016-04,04/26/2016 16:00,Y,NA,NA,1,NA,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5000,ARLINGTON AVE,71,NA,NA,5000,ARLINGTON,891811.1,1040789,FALSE,14
16-019801,2016-04,04/26/2016 16:30,Y,NA,NA,1,NA,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4701,S GRAND BLVD,16,NA,@ST MARYS HIGH SCHOOL,4701,GRAND,891333.2,998388.1,FALSE,14
16-019702,2016-04,04/26/2016 17:48,Y,NA,NA,1,NA,250000,4,LOITERING-BEGGING,1100,SALISBURY ST,65,NA,NA,NA,NA,906468.6,1029947,FALSE,25
16-019709,2016-04,04/26/2016 17:55,Y,NA,NA,1,NA,130000,4,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",0,N 18TH ST / LOCUST ST,36,NA,NA,NA,NA,904349,1019304,FALSE,13
16-019707,2016-04,04/26/2016 18:13,Y,NA,NA,1,NA,250000,4,LOITERING-BEGGING,0,N 3RD ST / CARR ST,35,NA,NA,NA,NA,909973.4,1019846,FALSE,25
16-019715,2016-04,04/26/2016 18:55,Y,NA,NA,1,NA,250000,4,LOITERING-BEGGING,0,N 3RD ST / CARR ST,35,NA,NA,NA,NA,909973.4,1019846,FALSE,25
16-019719,2016-04,04/26/2016 19:12,Y,NA,NA,1,NA,182130,5,DRUGS-POSSESSION/HEROIN,1389,HODIAMONT AVE,78,NA,NA,NA,NA,880837,1033718,FALSE,18
16-019726,2016-04,04/26/2016 19:30,Y,NA,NA,1,NA,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4041,OLIVE ST,38,NA,APT F,4041,OLIVE,893656.1,1023136,FALSE,14
16-019720,2016-04,04/26/2016 19:41,Y,NA,NA,1,NA,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,6025,SCANLAN AVE,9,NA,NA,6025,SCANLAN,879671.8,1009160,FALSE,14
16-019723,2016-04,04/26/2016 20:37,Y,NA,NA,1,NA,250000,4,LOITERING-BEGGING,500,WASHINGTON AVE,35,NA,NA,NA,NA,909060.6,1018285,FALSE,25
16-019745,2016-04,04/27/2016 00:01,Y,NA,NA,1,NA,182130,4,DRUGS-POSSESSION/HEROIN,2109,BRANCH ST,65,NA,NA,2105,BRANCH,905021.7,1028351,FALSE,18
16-019747,2016-04,04/27/2016 00:49,Y,NA,NA,1,NA,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1805,COCHRAN PL,4,NA,NA,1805,COCHRAN,905432.7,1022657,FALSE,14
