Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord,xyStatus,crimeCat
16-000071,2016-01,01/01/2016 00:01,Y,NA,NA,1,NA,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3811,MERAMEC ST,16,NA,NA,3811,MERAMEC,892179.1,1001297,FALSE,14
16-000086,2016-01,01/01/2016 00:01,Y,NA,NA,1,NA,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4322,LACLEDE AVE,38,NA,NA,4322,LACLEDE,890896.1,1021229,FALSE,14
16-000017,2016-01,01/01/2016 00:01,Y,NA,NA,1,NA,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4014,UNION BLVD,70,NORTHH PATROL DIVISION,REAR PARKING LOT,4014,UNION,890074.4,1037079,FALSE,14
16-000133,2016-01,01/01/2016 00:01,Y,NA,NA,1,NA,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4464,GREER AVE,56,NA,NA,4464,GREER,894035.7,1031689,FALSE,14
16-003462,2016-01,01/01/2016 00:01,Y,NA,NA,1,NA,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1327,RIPPLE ST,42,NA,NA,1327,RIPPLE,880051.2,1016939,FALSE,14
16-000005,2016-01,01/01/2016 00:09,Y,NA,NA,1,NA,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3737,S JEFFERSON AVE,19,NA,NA,3737,JEFFERSON,898184.3,1002663,FALSE,14
16-000008,2016-01,01/01/2016 00:10,Y,NA,NA,1,NA,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4886,ANDERSON AVE,69,NA,NA,4886,ANDERSON,893412.8,1037127,FALSE,14
16-000010,2016-01,01/01/2016 00:30,Y,NA,NA,1,NA,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1000,LAMI ST,21,NA,NA,1000,LAMI,903808.6,1008985,FALSE,14
16-000006,2016-01,01/01/2016 00:39,Y,NA,NA,1,NA,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4300,SAN FRANCISCO AVE,68,NA,NA,4300,SAN FRANCISCO,896101,1033115,FALSE,14
16-000025,2016-01,01/01/2016 01:30,Y,NA,NA,1,NA,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,200,S BROADWAY,35,NA,STADIUM EAST GARAGE,200,BROADWAY,908743.9,1016075,FALSE,14
16-000037,2016-01,01/01/2016 03:05,Y,NA,NA,1,NA,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4225,NEOSHO ST,5,NA,NA,4225,NEOSHO,887497.8,1001745,FALSE,14
16-000226,2016-01,01/01/2016 09:00,Y,NA,NA,1,NA,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3650,S UTAH PL,15,NA,NA,3650,UTAH,893061.8,1006317,FALSE,14
16-000075,2016-01,01/01/2016 10:24,Y,NA,NA,1,NA,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4192,SACRAMENTO AVE,68,NA,APT A,4192,SACRAMENTO,897380.9,1031998,FALSE,14
16-000256,2016-01,01/01/2016 12:00,Y,NA,NA,1,NA,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5458,ALABAMA AVE,1,NA,NA,5458,ALABAMA,892133.1,995058.6,FALSE,14
16-046138,2016-09,01/01/2016 12:00,Y,NA,NA,1,NA,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2022,SIDNEY ST,22,NA,NA,2022,SIDNEY,900639.9,1008758,FALSE,14
16-000094,2016-01,01/01/2016 12:55,Y,NA,NA,1,NA,130000,4,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",2801,N MARKET ST,59,NA,@ GLASGOW,NA,NA,901508.5,1025438,FALSE,13
17-000294,2017-01,01/01/2016 17:00,Y,NA,NA,1,NA,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4931,MCPHERSON AVE,38,NA,NA,4931,MCPHERSON,888212.5,1025308,FALSE,14
16-000141,2016-01,01/01/2016 19:32,Y,NA,NA,1,NA,130000,4,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",3077,DR MARTIN LUTHER KING DR,59,NA,NA,NA,NA,899565.1,1023001,FALSE,13
16-000137,2016-01,01/01/2016 19:48,Y,NA,NA,1,NA,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4930,DELMAR BLVD,38,CLASSIC NAILS,BUSINESS,4930,DELMAR,888111,1026049,FALSE,14
16-000139,2016-01,01/01/2016 19:56,Y,NA,NA,1,NA,130000,6,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",3098,CORA AVE,56,NA,NA,NA,NA,892949.5,1032409,FALSE,13
16-000140,2016-01,01/01/2016 20:15,Y,NA,NA,1,NA,182400,6,DRUGS-POSSESSION/MARIJUANA,4332,NATURAL BRIDGE AVE,56,NA,NA,4332,NATURAL BRIDGE,895585.4,1032601,FALSE,18
16-000198,2016-01,01/01/2016 21:00,Y,NA,NA,1,NA,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,8416,HALLS FERRY RD,74,NA,APT E,8416,HALLS FERRY,896662.3,1049106,FALSE,14
16-000153,2016-01,01/01/2016 22:05,Y,NA,NA,1,NA,151110,4,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,4500,N BROADWAY,64,NA,NA,4300,BROADWAY,905164,1033720,FALSE,15
16-000161,2016-01,01/01/2016 22:42,Y,NA,NA,1,NA,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5378,CLAXTON AVE,71,NA,2ND FLOOR,5378,CLAXTON,893599.8,1041540,FALSE,14
16-000167,2016-01,01/02/2016 00:30,Y,NA,NA,1,NA,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1229,N MARKET ST,63,OLD N MARKET AND DELI,NA,1229,MARKET,907708.9,1025330,FALSE,14
16-000169,2016-01,01/02/2016 01:19,Y,NA,NA,1,NA,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5300,N BROADWAY,64,NA,NA,5300,BROADWAY,903286.6,1036337,FALSE,14
16-000171,2016-01,01/02/2016 01:45,Y,NA,NA,1,NA,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,7812,IVORY AVE,2,NA,NA,7812,IVORY,887732.6,988599.8,FALSE,14
16-000201,2016-01,01/02/2016 03:00,Y,NA,NA,1,NA,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4269,E SAN FRANCISCO AVE,68,NA,NA,4269,SAN FRANCISCO,897067.9,1032638,FALSE,14
16-000184,2016-01,01/02/2016 04:10,Y,NA,NA,1,NA,182130,6,DRUGS-POSSESSION/HEROIN,3700,UNION BLVD,70,PHILLIPS 66 GAS STATION LOT,NA,NA,NA,889231.6,1036274,FALSE,18
16-000204,2016-01,01/02/2016 08:45,Y,NA,NA,1,NA,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,7877,COSTA PL,1,NA,NA,7877,COSTA,886296.4,989353,FALSE,14
16-000228,2016-01,01/02/2016 12:17,Y,NA,NA,1,NA,182260,1,DRUGS-POSSESSION/METHAMPHETAMINE,200,MARCEAU ST,2,NA,NA,NA,NA,887355.3,986381.5,FALSE,18
16-000253,2016-01,01/02/2016 13:00,Y,NA,NA,1,NA,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2005,E OBEAR AVE,66,NA,DWNSTRS,2005,OBEAR,903189.6,1033387,FALSE,14
16-000293,2016-01,01/02/2016 14:30,Y,NA,NA,1,NA,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1721,ELLIOTT AVE,59,NA,NA,1721,ELLIOTT,901740.3,1025017,FALSE,14
16-000265,2016-01,01/02/2016 15:31,Y,NA,NA,1,NA,182130,4,DRUGS-POSSESSION/HEROIN,1499,N BROADWAY,64,NA,NA,NA,NA,909943.2,1021837,FALSE,18
16-000268,2016-01,01/02/2016 15:55,Y,NA,NA,1,NA,182130,4,DRUGS-POSSESSION/HEROIN,0,@MCKINLEY BRIDGE : XY(90684870,64,NA,@MCKINLEY BRIDGE,NA,NA,906848.7,1030376,FALSE,18
16-000273,2016-02,01/02/2016 16:00,Y,NA,NA,1,NA,183130,2,DRUGS-SALE/HEROIN,1800,S SPRING AVE,27,NA,ON STREET,1915,OLIVE,893849.7,1013410,FALSE,18
16-000524,2016-01,01/02/2016 16:30,Y,NA,NA,1,NA,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4210,E MARGARETTA AVE,68,NA,NA,4210,MARGARETTA,897628.2,1032695,FALSE,14
16-000286,2016-01,01/02/2016 18:09,Y,NA,NA,1,NA,250000,2,LOITERING-BEGGING,0,CHIPPEWA ST / HAMPTON AVE,7,NA,NA,NA,NA,879018.3,1005017,FALSE,25
16-000290,2016-01,01/02/2016 18:41,Y,NA,NA,1,NA,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3922,SHENANDOAH AVE,27,NA,NA,3922,SHENANDOAH,892472,1011032,FALSE,14
16-000299,2016-01,01/02/2016 20:00,Y,NA,NA,1,NA,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2754,MERAMEC ST,17,NA,NA,2754,MERAMEC,896586.4,999866.4,FALSE,14
16-000302,2016-01,01/02/2016 20:06,Y,NA,NA,1,NA,152200,1,WEAPONS-CITY VIOL/DISCHRGING IN CITY,3663,DOVER PL,3,NA,NA,3675,DOVER,889494.6,995757.9,FALSE,15
16-000298,2016-01,01/02/2016 20:08,Y,NA,NA,1,NA,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,6000,NATURAL BRIDGE AVE,50,FAMILY DOLLAR,NA,6000,NATURAL BRIDGE,884487.5,1039583,FALSE,14
16-000332,2016-01,01/02/2016 20:30,Y,NA,NA,1,NA,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4136,VIRGINIA AVE,16,NA,NA,4136,VIRGINIA,894396.1,1000579,FALSE,14
16-000306,2016-01,01/02/2016 22:00,Y,NA,NA,1,NA,250000,4,LOITERING-BEGGING,1133,WASHINGTON AVE,35,NA,@BEST WESTERN HOTEL,NA,NA,907003.4,1019090,FALSE,25
16-000310,2016-01,01/02/2016 22:28,Y,NA,NA,1,NA,182130,5,DRUGS-POSSESSION/HEROIN,939,N KINGSHIGHWAY BLVD,51,NA,NA,939,KINGSHIGHWAY,887827.4,1027386,FALSE,18
16-000422,2016-01,01/02/2016 23:00,Y,NA,NA,1,NA,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2615,WASHINGTON AVE,37,NA,NA,2615,WASHINGTON,901832.9,1020376,FALSE,14
16-000312,2016-01,01/02/2016 23:05,Y,NA,NA,1,NA,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5615,LINDELL BLVD,47,NA,NA,5615,LINDELL,881909.9,1024395,FALSE,14
16-000347,2016-01,01/02/2016 23:30,Y,NA,NA,1,NA,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,400,OLIVE ST,35,NA,NA,400,OLIVE,909245.6,1017409,FALSE,14
16-002438,2016-01,01/03/2016 00:01,Y,NA,NA,1,NA,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3926,N GRAND BLVD,67,NA,NA,3926,GRAND,901607.1,1030425,FALSE,14
16-000366,2016-01,01/03/2016 03:00,Y,NA,NA,1,NA,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,0,N 13TH ST / LOCUST ST,36,NA,NA,NA,NA,906292.4,1018750,FALSE,14
16-000383,2016-01,01/03/2016 03:20,Y,NA,NA,1,NA,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2901,SALENA ST,22,KAX CAFE,NA,2901,SALENA,900600.6,1007223,FALSE,14
16-000344,2016-01,01/03/2016 04:02,Y,NA,NA,1,NA,130000,1,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",6950,SALZBURGER AVE,4,NA,NA,NA,NA,881862.6,995563.8,FALSE,13
16-001040,2016-01,01/03/2016 06:00,Y,NA,NA,1,NA,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4365,BATES ST,5,NA,NA,4365,BATES,885697.5,999217.1,FALSE,14
16-000364,2016-01,01/03/2016 09:50,Y,NA,NA,1,NA,182400,6,DRUGS-POSSESSION/MARIJUANA,4500,GREER AVE,56,NA,NA,NA,NA,893866,1031902,FALSE,18
16-000376,2016-01,01/03/2016 11:25,Y,NA,NA,1,NA,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4100,VIRGINIA AVE,16,NA,NA,4100,VIRGINIA,894465.3,1001036,FALSE,14
16-000419,2016-01,01/03/2016 15:28,Y,NA,NA,1,NA,182999,2,DRUGS-POSSESSION/OTHR UNSPEC DRUG,4414,DONOVAN AVE,8,LEGRAND S MARKET,NA,4414,DONOVAN,876563.4,1004114,FALSE,18
16-000411,2016-01,01/03/2016 15:45,Y,NA,NA,1,NA,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,7009,WEIL AVE,9,NA,NA,7009,WEIL,872496.1,1002994,FALSE,14
16-000448,2016-01,01/03/2016 19:15,Y,NA,NA,1,NA,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1300,OHIO AVE,31,NA,NA,1300,OHIO,899779.2,1014891,FALSE,14
16-000460,2016-01,01/03/2016 19:15,Y,NA,NA,1,NA,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5850,DELMAR BLVD,46,NA,REAR PARKING LOT,NA,NA,880464.6,1027109,FALSE,14
16-000450,2016-01,01/03/2016 20:30,Y,NA,NA,1,NA,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3732,MERAMEC ST,16,NA,NA,3732,MERAMEC,892424.8,1000910,FALSE,14
16-000451,2016-01,01/03/2016 20:34,Y,NA,NA,1,NA,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3645,MCREE AVE,29,NA,NA,3644,MCREE,894288.9,1014150,FALSE,14
16-000453,2016-01,01/03/2016 20:45,Y,NA,NA,1,NA,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1328,BLACKSTONE AVE,78,NA,NA,1328,BLACKSTONE,882859.2,1031649,FALSE,14
16-000456,2016-01,01/03/2016 21:00,Y,NA,NA,1,NA,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5917,DR MARTIN LUTHER KING DR,50,NA,NA,5917,DR MARTIN LUTHER KING,882151.1,1034465,FALSE,14
16-000466,2016-01,01/03/2016 23:00,Y,NA,NA,1,NA,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4909,PENROSE ST,69,NA,NA,4909,PENROSE,892863.9,1036887,FALSE,14
16-000480,2016-01,01/04/2016 03:15,Y,NA,NA,1,NA,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4532,GRAVOIS AVE,5,BUDGET MOBILE,#1127057,4532,GRAVOIS,888121.4,1001816,FALSE,14
16-000522,2016-01,01/04/2016 08:49,Y,NA,NA,1,NA,151110,3,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,2919,CHIPPEWA ST,19,NA,NA,NA,NA,896261.2,1002828,FALSE,15
16-000528,2016-01,01/04/2016 11:12,Y,NA,NA,1,NA,182400,4,DRUGS-POSSESSION/MARIJUANA,1721,MARKET ST,36,ALOE PLAZA,PARK,NA,NA,904595.9,1018013,FALSE,18
16-000547,2016-01,01/04/2016 11:30,Y,NA,NA,1,NA,130000,4,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",3601,GLASGOW AVE,59,JVL,NA,NA,NA,901895.6,1028775,FALSE,13
16-000537,2016-01,01/04/2016 11:30,Y,NA,NA,1,NA,182130,4,DRUGS-POSSESSION/HEROIN,1900,SAINT LOUIS AVE,60,NA,NA,1915,OLIVE,905669.1,1026028,FALSE,18
16-000543,2016-01,01/04/2016 12:10,Y,NA,NA,1,NA,182400,5,DRUGS-POSSESSION/MARIJUANA,1207,N KINGSHIGHWAY BLVD,53,NA,NA,1204,KINGSHIGHWAY,888097.6,1028626,FALSE,18
16-000571,2016-01,01/04/2016 12:30,Y,NA,NA,1,NA,182250,4,DRUGS-POSSESSION/COCAINE,2125,SALISBURY ST,65,NA,NA,2125,SALISBURY,904476.3,1029184,FALSE,18
16-000553,2016-01,01/04/2016 12:44,Y,NA,NA,1,NA,182130,1,DRUGS-POSSESSION/HEROIN,6212,PENNSYLVANIA AVE,1,NA,NA,6212,PENNSYLVANIA,892441.5,992014.1,FALSE,18
16-000556,2016-01,01/04/2016 13:30,Y,NA,NA,1,NA,250000,3,LOITERING-BEGGING,1700,S GRAND BLVD,26,NA,S GRAND/44 WB,NA,NA,895244.8,1012719,FALSE,25
16-000560,2016-01,01/04/2016 13:45,Y,NA,NA,1,NA,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2737,HOWARD ST,59,NA,NA,2737,HOWARD,901435.6,1024517,FALSE,14
16-000567,2016-01,01/04/2016 14:35,Y,NA,NA,1,NA,182130,6,DRUGS-POSSESSION/HEROIN,5927,ALPHA AVE,73,NA,NA,5927,ALPHA,891305,1048529,FALSE,18
16-000585,2016-01,01/04/2016 15:50,Y,NA,NA,1,NA,250000,3,LOITERING-BEGGING,1700,S GRAND BLVD,26,WATER TOWER PARK/TOWER GROVE EAST N,GRAND/I 44 EB,NA,NA,895244.8,1012719,FALSE,25
16-000586,2016-01,01/04/2016 16:23,Y,NA,NA,1,NA,182130,6,DRUGS-POSSESSION/HEROIN,0,N 20TH ST / E GANO AVE,66,NA,NA,NA,NA,902876.1,1033892,FALSE,18
16-000589,2016-01,01/04/2016 16:40,Y,NA,NA,1,NA,182250,6,DRUGS-POSSESSION/COCAINE,4975,PLOVER AVE,72,NA,NA,4975,PLOVER,890255.9,1042617,FALSE,18
16-000596,2016-01,01/04/2016 17:05,Y,NA,NA,1,NA,250000,3,LOITERING-BEGGING,1860,S 9TH ST,21,NA,@BAR- 1860 SALOON HARDSHELL CAFE,1860,9TH,904754.7,1010527,FALSE,25
16-000606,2016-01,01/04/2016 17:54,Y,NA,NA,1,NA,151130,5,WEAPONS-STATE VIOL/UNLWFL USE/CARRYING,4324,DR MARTIN LUTHER KING DR,58,MARTIN S MARKET,NA,4324,DR MARTIN LUTHER KING,893407.7,1027601,FALSE,15
16-000622,2016-01,01/04/2016 18:00,Y,NA,NA,1,NA,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1325,MARCUS AVE,54,NA,NA,1325,MARCUS,890176.4,1028876,FALSE,14
16-000615,2016-01,01/04/2016 18:33,Y,NA,NA,1,NA,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5617,HILLER PL,76,NA,NA,5617,HILLER,890605.2,1046685,FALSE,14
16-000623,2016-01,01/04/2016 19:36,Y,NA,NA,1,NA,151130,6,WEAPONS-STATE VIOL/UNLWFL USE/CARRYING,4126,W FLORISSANT AVE,68,BP AMOCO,NA,NA,NA,900142.6,1034662,FALSE,15
16-000621,2016-01,01/04/2016 19:39,Y,NA,NA,1,NA,250000,2,LOITERING-BEGGING,3920,HAMPTON AVE,14,NA,NA,4255,HAMPTON,879176.4,1005385,FALSE,25
16-000638,2016-01,01/04/2016 23:14,Y,NA,NA,1,NA,182260,2,DRUGS-POSSESSION/METHAMPHETAMINE,0,MORGANFORD RD / POTOMAC ST,15,NA,NA,NA,NA,888114.7,1005812,FALSE,18
16-000637,2016-01,01/04/2016 23:15,Y,NA,NA,1,NA,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3962,POTOMAC ST,15,NA,2ND FLOOR,3962,POTOMAC,890703.9,1005376,FALSE,14
16-000650,2016-01,01/05/2016 00:01,Y,NA,NA,1,NA,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,610,N 7TH ST,35,NA,NA,NA,NA,908628.7,1018533,FALSE,14
16-000689,2016-01,01/05/2016 10:30,Y,NA,NA,1,NA,151110,4,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION,2700,BACON ST,59,NA,NA,NA,NA,899965.1,1026699,FALSE,15
16-000692,2016-01,01/05/2016 10:56,Y,NA,NA,1,NA,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,7838,RIO TINTO PL,1,NA,NA,7838,RIO TINTO,886261,989775.8,FALSE,14
16-000696,2016-01,01/05/2016 11:30,Y,NA,NA,1,NA,250000,4,LOITERING-BEGGING,450,S GRAND BLVD,37,NA,NA,NA,NA,895948.9,1018746,FALSE,25
16-000705,2016-01,01/05/2016 12:10,Y,NA,NA,1,NA,182250,5,DRUGS-POSSESSION/COCAINE,6111,DR MARTIN LUTHER KING DR,50,NA,NA,NA,NA,881513.3,1034990,FALSE,18
16-000711,2016-01,01/05/2016 12:50,Y,NA,NA,1,NA,182250,6,DRUGS-POSSESSION/COCAINE,1411,MCLARAN AVE,74,NA,NA,1411,MCLARAN,894532.8,1049706,FALSE,18
16-000713,2016-01,01/05/2016 13:31,Y,NA,NA,1,NA,182130,1,DRUGS-POSSESSION/HEROIN,526,BATES ST,1,NA,REAR,526,BATES,892466.3,994466,FALSE,18
16-000732,2016-01,01/05/2016 15:25,Y,NA,NA,1,NA,130000,6,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",4700,BIRCHER BLVD,69,NA,NA,NA,NA,895152.2,1037234,FALSE,13
16-000783,2016-01,01/05/2016 16:00,Y,NA,NA,1,NA,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3640,KOSCIUSKO ST,18,NA,APT B03,3640,KOSCIUSKO,901146.1,1002759,FALSE,14
16-000735,2016-01,01/05/2016 16:05,Y,NA,NA,1,NA,250000,4,LOITERING-BEGGING,400,S GRAND BLVD,37,NA,NA,NA,NA,895948.9,1018746,FALSE,25
16-000753,2016-01,01/05/2016 17:17,Y,NA,NA,1,NA,182400,4,DRUGS-POSSESSION/MARIJUANA,1900,OLIVE ST,36,NA,NA,NA,NA,903812.8,1018919,FALSE,18
16-000758,2016-01,01/05/2016 17:44,Y,NA,NA,1,NA,182130,6,DRUGS-POSSESSION/HEROIN,5000,EMILY ST,66,NA,NA,NA,NA,902124.8,1033748,FALSE,18
16-000757,2016-01,01/05/2016 18:18,Y,NA,NA,1,NA,183130,4,DRUGS-SALE/HEROIN,1915,OLIVE ST,36,NA,NA,1915,OLIVE,903703.7,1019090,FALSE,18
16-000762,2016-01,01/05/2016 18:30,Y,NA,NA,1,NA,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1442,CASS AVE,61,NA,NA,1442,CASS,906523.9,1021998,FALSE,14
16-000889,2016-01,01/05/2016 19:40,Y,NA,NA,1,NA,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,6455,MANCHESTER AVE,43,NA,NA,6455,MANCHESTER,878450.1,1015037,FALSE,14
16-000872,2016-01,01/05/2016 20:00,Y,NA,NA,1,NA,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4829,MILENTZ AVE,6,NA,NA,4829,MILENTZ,882837.9,999115.7,FALSE,14
16-000777,2016-01,01/05/2016 20:12,Y,NA,NA,1,NA,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3675,FOLSOM AVE,29,NA,NA,3675,FOLSOM,894041.8,1014844,FALSE,14
16-000776,2016-01,01/05/2016 20:20,Y,NA,NA,1,NA,182999,6,DRUGS-POSSESSION/OTHR UNSPEC DRUG,6124,N BROADWAY,79,NA,NA,6124,BROADWAY,900558.8,1038456,FALSE,18
16-000782,2016-01,01/05/2016 20:55,Y,NA,NA,1,NA,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3800,N 23RD ST,65,NA,NA,3800,23RD,903695.9,1029274,FALSE,14
16-000795,2016-01,01/05/2016 21:45,Y,NA,NA,1,NA,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4246,NEOSHO ST,5,NA,BASEMENT APARTMENT,4246,NEOSHO,887235.4,1001711,FALSE,14
16-000816,2016-01,01/05/2016 22:00,Y,NA,NA,1,NA,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5514,EICHELBERGER ST,6,NA,NA,5514,EICHELBERGER,880784.9,1000708,FALSE,14
16-000796,2016-01,01/05/2016 22:07,Y,NA,NA,1,NA,182999,2,DRUGS-POSSESSION/OTHR UNSPEC DRUG,1615,S KINGSHIGHWAY BLVD,12,QUIKTRIP,NA,1615,KINGSHIGHWAY,886749.4,1014742,FALSE,18
16-000797,2016-01,01/05/2016 22:20,Y,NA,NA,1,NA,130000,5,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",6102,RIDGE AVE,78,NA,NA,6102,RIDGE,880983,1033994,FALSE,13
16-000794,2016-01,01/05/2016 22:45,Y,NA,NA,1,NA,182999,5,DRUGS-POSSESSION/OTHR UNSPEC DRUG,5356,PAGE BLVD,48,NA,NA,5356,PAGE,884691.4,1029832,FALSE,18
16-000829,2016-01,01/06/2016 00:01,Y,NA,NA,1,NA,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1730,S 11TH ST,34,WAY OF LIFE CHURCH,NA,1730,11TH,904334.8,1011633,FALSE,14
16-000800,2016-01,01/06/2016 00:05,Y,NA,NA,1,NA,182400,6,DRUGS-POSSESSION/MARIJUANA,6200,N BROADWAY,79,NA,NA,6200,BROADWAY,900459.2,1038662,FALSE,18
16-000804,2016-01,01/06/2016 01:18,Y,NA,NA,1,NA,182999,4,DRUGS-POSSESSION/OTHR UNSPEC DRUG,0,N 15TH ST / WASHINGTON AVE,36,NA,NA,NA,NA,905843.4,1019335,FALSE,18
16-000806,2016-01,01/06/2016 01:52,Y,NA,NA,1,NA,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5532,CHIPPEWA ST,7,NA,NA,5532,CHIPPEWA,881197.9,1004594,FALSE,14
16-000860,2016-01,01/06/2016 08:35,Y,NA,NA,1,NA,250000,5,LOITERING-BEGGING,4401,LINDELL BLVD,38,CATHEDRAL BASCILICA,NA,4433,LINDELL,890209.1,1022815,FALSE,25
16-000862,2016-01,01/06/2016 11:00,Y,NA,NA,1,NA,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2415,N KINGSHIGHWAY BLVD,52,NA,@NORTHVIEW VILLAGE,2415,KINGSHIGHWAY,889128.1,1032112,FALSE,14
16-001026,2016-01,01/06/2016 12:00,Y,NA,NA,1,NA,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3800,SHENANDOAH AVE,27,STREET AND ALLEY,NA,3823,SHENANDOAH,893396.4,1010923,FALSE,14
16-000877,2016-01,01/06/2016 12:14,Y,NA,NA,1,NA,182400,6,DRUGS-POSSESSION/MARIJUANA,4331,NATURAL BRIDGE AVE,68,NA,NA,4343,NATURAL BRIDGE,895761.7,1032844,FALSE,18
